priority_rank,opportunity_score,primary_keyword,landing_page_url,page_type,service_name,category,city,core_service,volume,kd,cpc_usd
1,2481.4,garage door repair,/services/garage-door-repair/,service page,Garage Door Repair,Doors,,yes,9900,21,7.77
2,1202.1,basement renovation ajax,/services/basement-renovation-ajax/,new service+city page,Basement Renovation,Basement,Ajax,yes,320,5,56.35
3,1084.2,basement renovation pickering,/services/basement-renovation-pickering/,new service+city page,Basement Renovation,Basement,Pickering,yes,320,6,54.21
4,1041.3,basement renovation oakville,/services/basement-renovation-oakville/,new service+city page,Basement Renovation,Basement,Oakville,yes,720,9,27.48
5,905.7,door installation,/services/door-installation/,service page,Door Installation,Doors,,yes,4400,26,7.41
6,814.5,toronto basement renovation,/services/basement-renovation-toronto/,new service+city page,Basement Renovation,Basement,Toronto,yes,320,9,48.36
7,737.8,basement renovation vaughan,/services/basement-renovation-vaughan/,new service+city page,Basement Renovation,Basement,Vaughan,yes,720,7,17.42
8,654.9,basement renovation richmond hill,/services/basement-renovation-richmond-hill/,new service+city page,Basement Renovation,Basement,Richmond Hill,yes,590,6,17.76
9,568.6,window replacement toronto,/services/window-replacement/,service page,Window Replacement,Windows,,yes,1000,26,20.47
10,560.8,basement renovation markham,/services/basement-renovation-markham/,new service+city page,Basement Renovation,Basement,Markham,yes,720,7,13.24
11,533.0,window installation toronto,/services/window-installation/,service page,Window Installation,Windows,,yes,880,25,21.20
12,529.6,basement renovation aurora,/services/basement-renovation-aurora/,new service+city page,Basement Renovation,Basement,Aurora,yes,390,10,27.16
13,526.8,basement renovation newmarket,/services/basement-renovation-newmarket/,new service+city page,Basement Renovation,Basement,Newmarket,yes,390,5,20.26
14,507.7,door repair,/services/door-repair/,service page,Door Repair,Doors,,yes,1900,8,4.81
15,468.7,window replacement brampton,/services/window-replacement-brampton/,new service+city page,Window Replacement,Windows,Brampton,yes,480,16,25.39
16,458.4,bathroom renovation toronto,/services/bathroom-renovation/,service page,Bathroom Renovation,Bathroom,,yes,2400,20,5.73
17,457.0,home additions,/services/home-addition/,service page,Home Addition,Whole Home,,yes,2400,13,4.38
18,417.6,bathroom renovation aurora,/services/bathroom-renovation-aurora/,new service+city page,Bathroom Renovation,Bathroom,Aurora,yes,720,6,9.28
19,416.0,bathroom renovation markham,/services/bathroom-renovation-markham/,new service+city page,Bathroom Renovation,Bathroom,Markham,yes,1300,12,7.04
20,415.6,door replacement toronto,/services/door-replacement/,service page,Door Replacement,Doors,,yes,720,12,12.70
21,390.7,basement renovation oshawa,/services/basement-renovation-oshawa/,new service+city page,Basement Renovation,Basement,Oshawa,yes,390,14,24.04
22,383.3,bathroom renovation richmond hill,/services/bathroom-renovation-richmond-hill/,new service+city page,Bathroom Renovation,Bathroom,Richmond Hill,yes,880,6,6.97
23,374.1,basement renovation brampton,/services/basement-renovation-brampton/,new service+city page,Basement Renovation,Basement,Brampton,yes,480,6,12.47
24,348.9,bathroom renovation mississauga,/services/bathroom-renovation-mississauga/,new service+city page,Bathroom Renovation,Bathroom,Mississauga,yes,1300,15,6.71
25,348.2,bathroom renovation oakville,/services/bathroom-renovation-oakville/,new service+city page,Bathroom Renovation,Bathroom,Oakville,yes,1300,13,6.16
26,320.2,bathroom renovation newmarket,/services/bathroom-renovation-newmarket/,new service+city page,Bathroom Renovation,Bathroom,Newmarket,yes,880,13,8.37
