volume,keyword_difficulty,cpc_usd,suggested_url,keyword,service_name,category,opportunity
9900,21,7.77,/services/garage-door-repair/,garage door repair,Garage Door Repair,Doors,2481.4
6600,14,1.19,/services/fence-installation/,fence,Fence Installation,Fences,327.2
6600,25,0.86,/services/vinyl-siding-installation/,vinyl siding,Vinyl Siding Installation,Exterior & Siding,162.2
4400,10,4.58,/services/window-repair/,window repair,Window Repair,Windows,1007.6
4400,26,7.41,/services/door-installation/,door installation,Door Installation,Doors,905.7
2900,28,1.38,/services/garage-cabinets/,garage cabinets,Garage Cabinets,Cabinetry & Storage,105.3
2400,20,5.73,/services/bathroom-renovation/,bathroom renovation toronto,Bathroom Renovation,Bathroom,458.4
2400,13,4.38,/services/home-addition/,home additions,Home Addition,Whole Home,457.0
2400,22,2.32,/services/soffit-and-fascia-installation/,soffit and fascia,Soffit and Fascia Installation,Exterior & Siding,174.0
1900,8,4.81,/services/door-repair/,door repair,Door Repair,Doors,507.7
1900,14,2.97,/services/flooring-installation/,flooring installation,Flooring Installation,Flooring,235.1
1900,27,3.20,/services/kitchen-remodeling/,kitchen remodeling,Kitchen Remodeling,Kitchen,164.3
1900,26,2.25,/services/asphalt-shingle-roofing/,asphalt roof shingles,Asphalt Shingle Roofing,Roofing,118.8
1600,29,7.65,/services/wet-basement-repair/,wet basement repair,Wet Basement Repair,Waterproofing,313.8
1600,27,6.45,/services/basement-finishing/,basement finishing,Basement Finishing,Basement,278.9
1600,14,2.91,/services/bathroom-remodeling/,bathroom remodeling contractors,Bathroom Remodeling,Bathroom,194.0
1600,24,3.15,/services/cabinet-refinishing/,cabinet refinishing,Cabinet Refinishing,Cabinetry & Storage,148.2
1600,20,1.27,/services/concrete-steps-replacement/,concrete steps,Concrete Steps Replacement,Concrete & Masonry,67.7
1600,16,0.94,/services/vinyl-fence-installation/,vinyl fence,Vinyl Fence Installation,Fences,57.8
1300,21,7.42,/services/basement-renovation/,basement renovation contractors,Basement Renovation,Basement,311.2
1300,15,3.69,/services/kitchen-renovation/,kitchen renovation near me,Kitchen Renovation,Kitchen,191.9
1300,23,3.74,/services/general-contractor/,general contractor near me,General Contractor,Whole Home,147.3
1300,28,4.22,/services/window-glass-replacement/,window glass replacement,Window Glass Replacement,Windows,144.4
1300,27,3.16,/services/concrete-contractor/,concrete contractor,Concrete Contractor,Concrete & Masonry,111.0
1300,11,1.12,/services/cedar-shake-roofing/,cedar shingles,Cedar Shake Roofing,Roofing,69.3
1000,26,20.47,/services/window-replacement/,window replacement toronto,Window Replacement,Windows,568.6
1000,20,5.34,/services/basement-waterproofing/,basement waterproofing near me,Basement Waterproofing,Waterproofing,178.0
1000,17,2.65,/services/kitchen-cabinet-refacing/,kitchen cabinet refacing near me,Kitchen Cabinet Refacing,Kitchen,98.1
1000,29,2.26,/services/countertop-installation/,countertop installation,Countertop Installation,Kitchen,57.9
1000,15,1.25,/services/exterior-cladding/,exterior cladding,Exterior Cladding,Exterior & Siding,50.0
1000,27,1.03,/services/eavestrough-installation/,gutters and downspouts,Eavestrough Installation,Exterior & Siding,27.8
880,25,21.20,/services/window-installation/,window installation toronto,Window Installation,Windows,533.0
880,23,5.89,/services/basement-window-replacement/,basement window replacement,Basement Window Replacement,Windows,157.1
880,27,4.13,/services/exterior-waterproofing/,exterior basement waterproofing,Exterior Waterproofing,Waterproofing,98.2
880,11,1.59,/services/cabinet-painting/,kitchen cabinet painter,Cabinet Painting,Cabinetry & Storage,66.6
880,10,1.13,/services/aluminum-fence-installation/,aluminum fence,Aluminum Fence Installation,Fences,49.7
880,8,0.97,/services/engineered-wood-siding/,engineered wood siding,Engineered Wood Siding,Exterior & Siding,47.4
880,30,1.75,/services/concrete-patio-installation/,concrete patio,Concrete Patio Installation,Concrete & Masonry,38.5
720,12,12.70,/services/door-replacement/,door replacement toronto,Door Replacement,Doors,415.6
720,10,3.26,/services/brick-repair/,brick repair toronto,Brick Repair,Concrete & Masonry,117.4
720,17,3.72,/services/custom-doors/,custom doors,Custom Doors,Doors,99.2
720,16,3.32,/services/flooring-contractor/,flooring contractor,Flooring Contractor,Flooring,91.9
720,13,2.90,/services/deck-repair/,deck repair,Deck Repair,Decks,90.8
720,19,0.72,/services/composite-fence-installation/,composite fence,Composite Fence Installation,Fences,17.9
590,13,7.12,/services/waterproofing-contractor/,waterproofing contractor,Waterproofing Contractor,Waterproofing,182.6
590,14,5.99,/services/siding-repair/,siding repair,Siding Repair,Exterior & Siding,147.3
590,12,4.60,/services/condo-renovation/,condo renovation,Condo Renovation,Whole Home,123.4
590,22,5.96,/services/front-door-installation/,front door installation near me,Front Door Installation,Doors,109.9
590,21,5.69,/services/deck-builder/,deck builder toronto,Deck Builder,Decks,108.3
590,11,3.52,/services/interior-renovation/,interior renovation,Interior Renovation,Whole Home,98.9
590,20,2.78,/services/interior-door-installation/,interior door installation near me,Interior Door Installation,Doors,54.7
590,27,2.94,/services/granite-countertop-installation/,granite countertop installation,Granite Countertop Installation,Kitchen,46.9
590,30,2.52,/services/custom-cabinetry/,custom cabinetry,Custom Cabinetry,Cabinetry & Storage,37.2
