Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
ca,average basement renovation cost,basement renovation,,,,,90,14,2.85,0.31,131,Informational,"Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.07,0.26,0.26,1.00,0.26,0.42,0.34,0.19,0.19,0.19,0.19,0.19",20,,
ca,average cost of basement renovation,basement renovation,,,,,90,5,6.44,0.33,135,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video","0.14,0.78,1.00,1.00,1.00,1.00,1.00,0.50,0.50,0.35,0.21,0.21",20,,
ca,basement conversion,basement renovation,,,,,90,17,0.00,0.22,133,Informational,"People Also Ask, Related Searches, Image Pack, Site Links, Reviews, Video Carousel, AI Overview, Video, Adwords Bottom","0.15,0.42,0.34,0.15,0.11,0.34,0.80,1.00,0.65,0.34,0.07,0.07",20,,
ca,cost estimate for finishing basement,basement renovation,,,,,90,14,1.82,0.04,130,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video, Video Carousel","0.00,0.19,0.33,1.00,0.23,0.33,0.23,0.52,0.52,0.66,1.00,0.66",20,,
ca,finish a basement,basement renovation,,,,,90,31,6.45,0.35,163,Informational,"Image Pack, Site Links, Video Carousel, People Also Ask, Related Searches, AI Overview, Reviews, Video, Discussions And Forums","0.03,0.06,0.06,0.09,0.09,0.28,0.65,0.34,0.34,1.00,0.21,0.21",20,,
ca,how basement renovation can improve your living,basement renovation,,,,,90,0,0.00,0.00,132,Informational,"Reviews, Video, Video Carousel, People Also Ask, Discussions And Forums, AI Overview","0.33,0.33,0.23,0.04,0.19,0.66,0.66,1.00,0.42,0.42,0.42",,,
ca,refinishing basement,basement renovation,,,,,90,28,5.77,0.40,163,Informational,"Knowledge Panel, Site Links, Video, Adwords Bottom, Related Searches, Discussions And Forums, AI Overview, Image Pack, Reviews, Video Carousel, People Also Ask","0.00,0.00,0.00,0.00,0.00,0.12,1.00,0.09,0.12,0.15,0.09,0.15",20,,
ca,renovating basement,basement renovation,,,,,90,18,5.85,0.31,190,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Local Pack, Image Pack, Reviews, Video","0.23,0.64,0.64,0.82,0.64,0.64,0.52,0.52,0.52,0.41,0.29,0.41",75,,
ca,basement bathroom renovation cost,basement renovation,,,,,70,6,1.93,0.04,192,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.42,0.42,0.42,0.80,0.65",20,,
ca,basement refinishing,basement renovation,,,,,70,36,5.77,0.40,190,Informational,"AI Overview, Local Pack, Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.09,0.12,0.09,0.09,0.06,0.28,0.43,0.43,0.53,0.28,0.43,0.34",75,,
ca,complete basement renovation,basement renovation,,,,,70,22,6.67,0.66,170,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links","0.09,0.00,0.00,0.09,0.09,0.33,1.00,1.00,0.52,0.52,0.66,0.52",20,,
ca,average cost of basement remodel,basement renovation,,,,,50,24,2.85,0.31,134,Informational,"Video, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links","0.07,0.15,0.11,0.53,0.15,0.19,0.26,0.19,0.15,0.07,0.07,0.15",20,,
ca,basement finishing cost per sq ft,basement renovation,,,,,50,15,2.93,0.25,133,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video, Video Carousel","0.03,0.15,0.19,1.00,0.19,0.15,0.26,0.19,0.26,0.19,0.11,0.15",20,,
ca,basement renovation estimate,basement renovation,,,,,50,5,8.40,0.26,135,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video, Video Carousel","0.22,0.77,0.77,0.55,0.55,1.00,0.33,0.44,0.55,0.55,0.77,0.55",20,,
ca,basement renovation permit,basement renovation,,,,,50,13,2.05,0.05,133,Informational,"Video, People Also Ask, Related Searches, Site Links, Reviews","0.05,0.11,0.11,0.41,0.29,0.41,0.29,0.41,0.05,1.00,0.05,0.23",20,,
ca,cost of basement remodel per square foot,basement renovation,,,,,50,17,2.93,0.25,132,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches, Discussions And Forums","0.00,0.00,0.00,1.00,0.29,0.00,0.00,0.00,0.14,0.00,0.08,0.00",20,,
ca,how to redo a basement,basement renovation,,,,,50,37,1.14,0.13,104,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.09,0.09,0.09,0.52,0.09,0.09,0.09,0.52,0.52,0.52,0.09,0.09",20,,
ca,how to remodel a basement,basement renovation,,,,,50,39,1.14,0.33,103,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.09,0.09,0.09,0.52,0.09,0.09,0.09,0.52,0.52,0.52,0.09,0.09",20,,
ca,renovate basement,basement renovation,,,,,50,27,5.20,0.28,108,Informational,"Video, Adwords Top, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links, Short Videos, AI Overview, Local Pack","0.28,0.78,0.35,0.78,0.35,0.28,0.28,0.21,0.21,0.21,0.28,0.35",20,,
ca,small basement renovation,basement renovation,,,,,50,34,4.04,0.15,189,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Reviews, Video","0.07,0.14,0.35,0.50,0.21,0.21,0.14,0.50,0.78,1.00,0.64,0.78",90,,
ca,basement apartment renovation,basement renovation,,,,,70,12,2.38,0.13,136,Informational,"Local Pack, Reviews, Video, Related Searches, Adwords Middle, AI Overview, Video Carousel, People Also Ask, Discussions And Forums","0.18,0.63,0.45,0.45,0.45,0.63,0.27,0.81,0.81,1.00,1.00,1.00",90,,
ca,basements renovations,basement renovation,,,,,70,34,7.42,0.49,143,Informational,"Related Searches, Local Pack, Image Pack, Reviews, Video, Adwords Bottom, Video Carousel, People Also Ask","0.00,0.22,0.18,0.22,0.18,0.18,0.18,0.10,0.08,0.06,0.08,0.10",75,,
ca,remodel basement,basement renovation,,,,,70,36,5.85,0.31,169,Informational,"Reviews, Video Carousel, Discussions And Forums, Knowledge Panel, Image Pack, Video, People Also Ask, Related Searches, AI Overview","0.28,0.12,0.12,0.43,0.28,0.12,0.09,0.28,0.21,0.15,0.15,0.15",70,,
ca,remodeling a basement,basement renovation,,,,,50,46,5.78,0.29,107,Informational,"Reviews, Video, People Also Ask, Discussions And Forums, Local Pack, Image Pack, Site Links, Video Carousel, Related Searches, AI Overview","0.12,0.43,0.43,0.21,0.12,0.12,0.12,0.09,0.12,0.09,0.06,0.12",20,,
ca,affordable basement finishing toronto,basement renovation,,,,,90,29,0.00,0.00,183,Informational,"Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video, People Also Ask","0.27,0.63,0.81,0.81,0.81,0.81,1.00,1.00",20,,
ca,contractors to finish a basement,basement renovation,,,,,90,14,13.68,0.15,139,Informational,"People Also Ask, Related Searches, AI Overview, Reviews, Video","0.14,0.14,0.14,0.78,0.28,0.78,0.78,0.78,0.64,1.00,1.00,0.78",90,,
