priority,research_batch,coverage_level,keyword,keyword_type,intent,service_slug,service_name,category,core_service,location,location_slug,location_tier,parent_municipality,region,page_strategy,suggested_url,volume,keyword_difficulty,cpc_usd,in_semrush_export
1,1,head,attic insulation,head,Commercial,attic-insulation,Attic Insulation,Insulation & Energy,yes,,,,,,service page,/services/attic-insulation/,,,,no
1,1,head,attic insulation contractor,hiring,Commercial,attic-insulation,Attic Insulation,Insulation & Energy,yes,,,,,,service page,/services/attic-insulation/,,,,no
1,1,head,attic insulation contractors,hiring,Commercial,attic-insulation,Attic Insulation,Insulation & Energy,yes,,,,,,service page,/services/attic-insulation/,,,,no
1,1,head,attic insulation near me,near-me,Transactional,attic-insulation,Attic Insulation,Insulation & Energy,yes,,,,,,service page,/services/attic-insulation/,,,,no
1,1,head,attic insulation toronto,anchor-city,Commercial,attic-insulation,Attic Insulation,Insulation & Energy,yes,,,,,,service page,/services/attic-insulation/,,,,no
1,1,head,baseboard installation,head,Commercial,baseboard-installation,Baseboard Installation,Trim & Millwork,yes,,,,,,service page,/services/baseboard-installation/,,,,no
1,1,head,baseboard installation contractor,hiring,Commercial,baseboard-installation,Baseboard Installation,Trim & Millwork,yes,,,,,,service page,/services/baseboard-installation/,,,,no
1,1,head,baseboard installation contractors,hiring,Commercial,baseboard-installation,Baseboard Installation,Trim & Millwork,yes,,,,,,service page,/services/baseboard-installation/,,,,no
1,1,head,baseboard installation near me,near-me,Transactional,baseboard-installation,Baseboard Installation,Trim & Millwork,yes,,,,,,service page,/services/baseboard-installation/,,,,no
1,1,head,baseboard installation toronto,anchor-city,Commercial,baseboard-installation,Baseboard Installation,Trim & Millwork,yes,,,,,,service page,/services/baseboard-installation/,,,,no
1,1,head,basement finishing,head,Commercial,basement-finishing,Basement Finishing,Basement,yes,,,,,,service page,/services/basement-finishing/,1600,27,6.45,yes
1,1,head,basement finishing contractor,hiring,Commercial,basement-finishing,Basement Finishing,Basement,yes,,,,,,service page,/services/basement-finishing/,140,5,6.94,yes
1,1,head,basement finishing contractors,hiring,Commercial,basement-finishing,Basement Finishing,Basement,yes,,,,,,service page,/services/basement-finishing/,720,11,6.94,yes
1,1,head,basement finishing near me,near-me,Transactional,basement-finishing,Basement Finishing,Basement,yes,,,,,,service page,/services/basement-finishing/,210,22,7.24,yes
1,1,head,basement finishing toronto,anchor-city,Commercial,basement-finishing,Basement Finishing,Basement,yes,,,,,,service page,/services/basement-finishing/,,,,no
1,1,head,basement renovation,head,Commercial,basement-renovation,Basement Renovation,Basement,yes,,,,,,service page,/services/basement-renovation/,,,,no
1,1,head,basement renovation contractor,hiring,Commercial,basement-renovation,Basement Renovation,Basement,yes,,,,,,service page,/services/basement-renovation/,480,9,7.50,yes
1,1,head,basement renovation contractors,hiring,Commercial,basement-renovation,Basement Renovation,Basement,yes,,,,,,service page,/services/basement-renovation/,1300,21,7.42,yes
1,1,head,basement renovation near me,near-me,Transactional,basement-renovation,Basement Renovation,Basement,yes,,,,,,service page,/services/basement-renovation/,390,14,8.24,yes
1,1,head,basement renovation toronto,anchor-city,Commercial,basement-renovation,Basement Renovation,Basement,yes,,,,,,service page,/services/basement-renovation/,,,,no
1,1,head,basement waterproofing,head,Commercial,basement-waterproofing,Basement Waterproofing,Waterproofing,yes,,,,,,service page,/services/basement-waterproofing/,,,,no
1,1,head,basement waterproofing contractor,hiring,Commercial,basement-waterproofing,Basement Waterproofing,Waterproofing,yes,,,,,,service page,/services/basement-waterproofing/,,,,no
1,1,head,basement waterproofing contractors,hiring,Commercial,basement-waterproofing,Basement Waterproofing,Waterproofing,yes,,,,,,service page,/services/basement-waterproofing/,,,,no
1,1,head,basement waterproofing near me,near-me,Transactional,basement-waterproofing,Basement Waterproofing,Waterproofing,yes,,,,,,service page,/services/basement-waterproofing/,,,,no
1,1,head,basement waterproofing toronto,anchor-city,Commercial,basement-waterproofing,Basement Waterproofing,Waterproofing,yes,,,,,,service page,/services/basement-waterproofing/,,,,no
1,1,head,bathroom remodeling,head,Commercial,bathroom-remodeling,Bathroom Remodeling,Bathroom,yes,,,,,,service page,/services/bathroom-remodeling/,,,,no
1,1,head,bathroom remodeling contractor,hiring,Commercial,bathroom-remodeling,Bathroom Remodeling,Bathroom,yes,,,,,,service page,/services/bathroom-remodeling/,390,20,2.91,yes
1,1,head,bathroom remodeling contractors,hiring,Commercial,bathroom-remodeling,Bathroom Remodeling,Bathroom,yes,,,,,,service page,/services/bathroom-remodeling/,1600,14,2.91,yes
1,1,head,bathroom remodeling near me,near-me,Transactional,bathroom-remodeling,Bathroom Remodeling,Bathroom,yes,,,,,,service page,/services/bathroom-remodeling/,720,18,4.48,yes
1,1,head,bathroom remodeling toronto,anchor-city,Commercial,bathroom-remodeling,Bathroom Remodeling,Bathroom,yes,,,,,,service page,/services/bathroom-remodeling/,260,23,5.08,yes
1,1,head,bathroom renovation,head,Commercial,bathroom-renovation,Bathroom Renovation,Bathroom,yes,,,,,,service page,/services/bathroom-renovation/,,,,no
1,1,head,bathroom renovation contractor,hiring,Commercial,bathroom-renovation,Bathroom Renovation,Bathroom,yes,,,,,,service page,/services/bathroom-renovation/,1600,24,2.91,yes
1,1,head,bathroom renovation contractors,hiring,Commercial,bathroom-renovation,Bathroom Renovation,Bathroom,yes,,,,,,service page,/services/bathroom-renovation/,1600,17,2.91,yes
1,1,head,bathroom renovation near me,near-me,Transactional,bathroom-renovation,Bathroom Renovation,Bathroom,yes,,,,,,service page,/services/bathroom-renovation/,1600,14,5.17,yes
1,1,head,bathroom renovation toronto,anchor-city,Commercial,bathroom-renovation,Bathroom Renovation,Bathroom,yes,,,,,,service page,/services/bathroom-renovation/,2400,20,5.73,yes
1,1,head,concrete contractor,head,Commercial,concrete-contractor,Concrete Contractor,Concrete & Masonry,yes,,,,,,service page,/services/concrete-contractor/,,,,no
1,1,head,concrete contractor near me,near-me,Transactional,concrete-contractor,Concrete Contractor,Concrete & Masonry,yes,,,,,,service page,/services/concrete-contractor/,,,,no
1,1,head,concrete contractor toronto,anchor-city,Commercial,concrete-contractor,Concrete Contractor,Concrete & Masonry,yes,,,,,,service page,/services/concrete-contractor/,,,,no
1,1,head,condo renovation,head,Commercial,condo-renovation,Condo Renovation,Whole Home,yes,,,,,,service page,/services/condo-renovation/,590,12,4.60,yes
1,1,head,condo renovation contractor,hiring,Commercial,condo-renovation,Condo Renovation,Whole Home,yes,,,,,,service page,/services/condo-renovation/,210,5,5.63,yes
1,1,head,condo renovation contractors,hiring,Commercial,condo-renovation,Condo Renovation,Whole Home,yes,,,,,,service page,/services/condo-renovation/,90,13,5.63,yes
1,1,head,condo renovation near me,near-me,Transactional,condo-renovation,Condo Renovation,Whole Home,yes,,,,,,service page,/services/condo-renovation/,,,,no
1,1,head,condo renovation toronto,anchor-city,Commercial,condo-renovation,Condo Renovation,Whole Home,yes,,,,,,service page,/services/condo-renovation/,,,,no
1,1,head,countertop installation,head,Commercial,countertop-installation,Countertop Installation,Kitchen,yes,,,,,,service page,/services/countertop-installation/,1000,29,2.26,yes
1,1,head,countertop installation contractor,hiring,Commercial,countertop-installation,Countertop Installation,Kitchen,yes,,,,,,service page,/services/countertop-installation/,,,,no
1,1,head,countertop installation contractors,hiring,Commercial,countertop-installation,Countertop Installation,Kitchen,yes,,,,,,service page,/services/countertop-installation/,,,,no
1,1,head,countertop installation near me,near-me,Transactional,countertop-installation,Countertop Installation,Kitchen,yes,,,,,,service page,/services/countertop-installation/,,,,no
1,1,head,countertop installation toronto,anchor-city,Commercial,countertop-installation,Countertop Installation,Kitchen,yes,,,,,,service page,/services/countertop-installation/,,,,no
1,1,head,crown moulding installation,head,Commercial,crown-moulding-installation,Crown Moulding Installation,Trim & Millwork,yes,,,,,,service page,/services/crown-moulding-installation/,,,,no
1,1,head,crown moulding installation contractor,hiring,Commercial,crown-moulding-installation,Crown Moulding Installation,Trim & Millwork,yes,,,,,,service page,/services/crown-moulding-installation/,,,,no
1,1,head,crown moulding installation contractors,hiring,Commercial,crown-moulding-installation,Crown Moulding Installation,Trim & Millwork,yes,,,,,,service page,/services/crown-moulding-installation/,,,,no
1,1,head,crown moulding installation near me,near-me,Transactional,crown-moulding-installation,Crown Moulding Installation,Trim & Millwork,yes,,,,,,service page,/services/crown-moulding-installation/,,,,no
1,1,head,crown moulding installation toronto,anchor-city,Commercial,crown-moulding-installation,Crown Moulding Installation,Trim & Millwork,yes,,,,,,service page,/services/crown-moulding-installation/,,,,no
1,1,head,custom cabinetry,head,Commercial,custom-cabinetry,Custom Cabinetry,Cabinetry & Storage,yes,,,,,,service page,/services/custom-cabinetry/,590,30,2.52,yes
1,1,head,custom cabinetry contractor,hiring,Commercial,custom-cabinetry,Custom Cabinetry,Cabinetry & Storage,yes,,,,,,service page,/services/custom-cabinetry/,,,,no
1,1,head,custom cabinetry contractors,hiring,Commercial,custom-cabinetry,Custom Cabinetry,Cabinetry & Storage,yes,,,,,,service page,/services/custom-cabinetry/,,,,no
1,1,head,custom cabinetry near me,near-me,Transactional,custom-cabinetry,Custom Cabinetry,Cabinetry & Storage,yes,,,,,,service page,/services/custom-cabinetry/,110,18,2.64,yes
1,1,head,custom cabinetry toronto,anchor-city,Commercial,custom-cabinetry,Custom Cabinetry,Cabinetry & Storage,yes,,,,,,service page,/services/custom-cabinetry/,,,,no
1,1,head,custom closet installation,head,Commercial,custom-closet-installation,Custom Closet Installation,Cabinetry & Storage,yes,,,,,,service page,/services/custom-closet-installation/,,,,no
1,1,head,custom closet installation contractor,hiring,Commercial,custom-closet-installation,Custom Closet Installation,Cabinetry & Storage,yes,,,,,,service page,/services/custom-closet-installation/,,,,no
1,1,head,custom closet installation contractors,hiring,Commercial,custom-closet-installation,Custom Closet Installation,Cabinetry & Storage,yes,,,,,,service page,/services/custom-closet-installation/,,,,no
1,1,head,custom closet installation near me,near-me,Transactional,custom-closet-installation,Custom Closet Installation,Cabinetry & Storage,yes,,,,,,service page,/services/custom-closet-installation/,,,,no
1,1,head,custom closet installation toronto,anchor-city,Commercial,custom-closet-installation,Custom Closet Installation,Cabinetry & Storage,yes,,,,,,service page,/services/custom-closet-installation/,,,,no
1,1,head,custom doors,head,Commercial,custom-doors,Custom Doors,Doors,yes,,,,,,service page,/services/custom-doors/,720,17,3.72,yes
1,1,head,custom doors contractor,hiring,Commercial,custom-doors,Custom Doors,Doors,yes,,,,,,service page,/services/custom-doors/,,,,no
1,1,head,custom doors contractors,hiring,Commercial,custom-doors,Custom Doors,Doors,yes,,,,,,service page,/services/custom-doors/,,,,no
1,1,head,custom doors near me,near-me,Transactional,custom-doors,Custom Doors,Doors,yes,,,,,,service page,/services/custom-doors/,110,8,4.91,yes
1,1,head,custom doors toronto,anchor-city,Commercial,custom-doors,Custom Doors,Doors,yes,,,,,,service page,/services/custom-doors/,320,20,4.66,yes
1,1,head,custom kitchen cabinets,head,Commercial,custom-kitchen-cabinets,Custom Kitchen Cabinets,Kitchen,yes,,,,,,service page,/services/custom-kitchen-cabinets/,,,,no
1,1,head,custom kitchen cabinets contractor,hiring,Commercial,custom-kitchen-cabinets,Custom Kitchen Cabinets,Kitchen,yes,,,,,,service page,/services/custom-kitchen-cabinets/,,,,no
1,1,head,custom kitchen cabinets contractors,hiring,Commercial,custom-kitchen-cabinets,Custom Kitchen Cabinets,Kitchen,yes,,,,,,service page,/services/custom-kitchen-cabinets/,,,,no
1,1,head,custom kitchen cabinets near me,near-me,Transactional,custom-kitchen-cabinets,Custom Kitchen Cabinets,Kitchen,yes,,,,,,service page,/services/custom-kitchen-cabinets/,,,,no
1,1,head,custom kitchen cabinets toronto,anchor-city,Commercial,custom-kitchen-cabinets,Custom Kitchen Cabinets,Kitchen,yes,,,,,,service page,/services/custom-kitchen-cabinets/,,,,no
1,1,head,deck builder,head,Commercial,deck-builder,Deck Builder,Decks,yes,,,,,,service page,/services/deck-builder/,,,,no
1,1,head,deck builder contractor,hiring,Commercial,deck-builder,Deck Builder,Decks,yes,,,,,,service page,/services/deck-builder/,,,,no
1,1,head,deck builder contractors,hiring,Commercial,deck-builder,Deck Builder,Decks,yes,,,,,,service page,/services/deck-builder/,,,,no
1,1,head,deck builder near me,near-me,Transactional,deck-builder,Deck Builder,Decks,yes,,,,,,service page,/services/deck-builder/,720,22,3.67,yes
1,1,head,deck builder toronto,anchor-city,Commercial,deck-builder,Deck Builder,Decks,yes,,,,,,service page,/services/deck-builder/,590,21,5.69,yes
1,1,head,deck building,head,Commercial,deck-building,Deck Building,Decks,yes,,,,,,service page,/services/deck-building/,,,,no
1,1,head,deck building contractor,hiring,Commercial,deck-building,Deck Building,Decks,yes,,,,,,service page,/services/deck-building/,,,,no
1,1,head,deck building contractors,hiring,Commercial,deck-building,Deck Building,Decks,yes,,,,,,service page,/services/deck-building/,390,19,5.63,yes
1,1,head,deck building near me,near-me,Transactional,deck-building,Deck Building,Decks,yes,,,,,,service page,/services/deck-building/,110,15,3.67,yes
1,1,head,deck building toronto,anchor-city,Commercial,deck-building,Deck Building,Decks,yes,,,,,,service page,/services/deck-building/,,,,no
1,1,head,deck repair,head,Commercial,deck-repair,Deck Repair,Decks,yes,,,,,,service page,/services/deck-repair/,720,13,2.90,yes
1,1,head,deck repair contractor,hiring,Commercial,deck-repair,Deck Repair,Decks,yes,,,,,,service page,/services/deck-repair/,,,,no
1,1,head,deck repair contractors,hiring,Commercial,deck-repair,Deck Repair,Decks,yes,,,,,,service page,/services/deck-repair/,,,,no
1,1,head,deck repair near me,near-me,Transactional,deck-repair,Deck Repair,Decks,yes,,,,,,service page,/services/deck-repair/,590,13,3.20,yes
1,1,head,deck repair toronto,anchor-city,Commercial,deck-repair,Deck Repair,Decks,yes,,,,,,service page,/services/deck-repair/,260,10,5.34,yes
1,1,head,door installation,head,Commercial,door-installation,Door Installation,Doors,yes,,,,,,service page,/services/door-installation/,4400,26,7.41,yes
1,1,head,door installation contractor,hiring,Commercial,door-installation,Door Installation,Doors,yes,,,,,,service page,/services/door-installation/,,,,no
1,1,head,door installation contractors,hiring,Commercial,door-installation,Door Installation,Doors,yes,,,,,,service page,/services/door-installation/,,,,no
1,1,head,door installation near me,near-me,Transactional,door-installation,Door Installation,Doors,yes,,,,,,service page,/services/door-installation/,,,,no
1,1,head,door installation toronto,anchor-city,Commercial,door-installation,Door Installation,Doors,yes,,,,,,service page,/services/door-installation/,590,13,14.12,yes
1,1,head,door repair,head,Commercial,door-repair,Door Repair,Doors,yes,,,,,,service page,/services/door-repair/,1900,8,4.81,yes
1,1,head,door repair contractor,hiring,Commercial,door-repair,Door Repair,Doors,yes,,,,,,service page,/services/door-repair/,,,,no
1,1,head,door repair contractors,hiring,Commercial,door-repair,Door Repair,Doors,yes,,,,,,service page,/services/door-repair/,,,,no
1,1,head,door repair near me,near-me,Transactional,door-repair,Door Repair,Doors,yes,,,,,,service page,/services/door-repair/,480,5,4.43,yes
1,1,head,door repair toronto,anchor-city,Commercial,door-repair,Door Repair,Doors,yes,,,,,,service page,/services/door-repair/,,,,no
1,1,head,door replacement,head,Commercial,door-replacement,Door Replacement,Doors,yes,,,,,,service page,/services/door-replacement/,1300,20,8.70,yes
1,1,head,door replacement contractor,hiring,Commercial,door-replacement,Door Replacement,Doors,yes,,,,,,service page,/services/door-replacement/,,,,no
1,2,head,door replacement contractors,hiring,Commercial,door-replacement,Door Replacement,Doors,yes,,,,,,service page,/services/door-replacement/,,,,no
1,2,head,door replacement near me,near-me,Transactional,door-replacement,Door Replacement,Doors,yes,,,,,,service page,/services/door-replacement/,,,,no
1,2,head,door replacement toronto,anchor-city,Commercial,door-replacement,Door Replacement,Doors,yes,,,,,,service page,/services/door-replacement/,720,12,12.70,yes
1,2,head,drywall contractor,head,Commercial,drywall-contractor,Drywall Contractor,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-contractor/,,,,no
1,2,head,drywall contractor near me,near-me,Transactional,drywall-contractor,Drywall Contractor,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-contractor/,,,,no
1,2,head,drywall contractor toronto,anchor-city,Commercial,drywall-contractor,Drywall Contractor,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-contractor/,,,,no
1,2,head,drywall installation,head,Commercial,drywall-installation,Drywall Installation,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-installation/,,,,no
1,2,head,drywall installation contractor,hiring,Commercial,drywall-installation,Drywall Installation,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-installation/,,,,no
1,2,head,drywall installation contractors,hiring,Commercial,drywall-installation,Drywall Installation,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-installation/,,,,no
1,2,head,drywall installation near me,near-me,Transactional,drywall-installation,Drywall Installation,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-installation/,,,,no
1,2,head,drywall installation toronto,anchor-city,Commercial,drywall-installation,Drywall Installation,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-installation/,,,,no
1,2,head,drywall repair,head,Commercial,drywall-repair,Drywall Repair,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-repair/,,,,no
1,2,head,drywall repair contractor,hiring,Commercial,drywall-repair,Drywall Repair,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-repair/,,,,no
1,2,head,drywall repair contractors,hiring,Commercial,drywall-repair,Drywall Repair,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-repair/,,,,no
1,2,head,drywall repair near me,near-me,Transactional,drywall-repair,Drywall Repair,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-repair/,,,,no
1,2,head,drywall repair toronto,anchor-city,Commercial,drywall-repair,Drywall Repair,Drywall & Ceilings,yes,,,,,,service page,/services/drywall-repair/,,,,no
1,2,head,electrical contractor,head,Commercial,electrical-contractor,Electrical Contractor,Electrical,yes,,,,,,service page,/services/electrical-contractor/,,,,no
1,2,head,electrical contractor near me,near-me,Transactional,electrical-contractor,Electrical Contractor,Electrical,yes,,,,,,service page,/services/electrical-contractor/,,,,no
1,2,head,electrical contractor toronto,anchor-city,Commercial,electrical-contractor,Electrical Contractor,Electrical,yes,,,,,,service page,/services/electrical-contractor/,,,,no
1,2,head,electrical panel upgrade,head,Commercial,electrical-panel-upgrade,Electrical Panel Upgrade,Electrical,yes,,,,,,service page,/services/electrical-panel-upgrade/,,,,no
1,2,head,electrical panel upgrade contractor,hiring,Commercial,electrical-panel-upgrade,Electrical Panel Upgrade,Electrical,yes,,,,,,service page,/services/electrical-panel-upgrade/,,,,no
1,2,head,electrical panel upgrade contractors,hiring,Commercial,electrical-panel-upgrade,Electrical Panel Upgrade,Electrical,yes,,,,,,service page,/services/electrical-panel-upgrade/,,,,no
1,2,head,electrical panel upgrade near me,near-me,Transactional,electrical-panel-upgrade,Electrical Panel Upgrade,Electrical,yes,,,,,,service page,/services/electrical-panel-upgrade/,,,,no
1,2,head,electrical panel upgrade toronto,anchor-city,Commercial,electrical-panel-upgrade,Electrical Panel Upgrade,Electrical,yes,,,,,,service page,/services/electrical-panel-upgrade/,,,,no
1,2,head,exterior door installation,head,Commercial,exterior-door-installation,Exterior Door Installation,Doors,yes,,,,,,service page,/services/exterior-door-installation/,,,,no
1,2,head,exterior door installation contractor,hiring,Commercial,exterior-door-installation,Exterior Door Installation,Doors,yes,,,,,,service page,/services/exterior-door-installation/,,,,no
1,2,head,exterior door installation contractors,hiring,Commercial,exterior-door-installation,Exterior Door Installation,Doors,yes,,,,,,service page,/services/exterior-door-installation/,,,,no
1,2,head,exterior door installation near me,near-me,Transactional,exterior-door-installation,Exterior Door Installation,Doors,yes,,,,,,service page,/services/exterior-door-installation/,,,,no
1,2,head,exterior door installation toronto,anchor-city,Commercial,exterior-door-installation,Exterior Door Installation,Doors,yes,,,,,,service page,/services/exterior-door-installation/,,,,no
1,2,head,exterior painting,head,Commercial,exterior-painting,Exterior Painting,Painting,yes,,,,,,service page,/services/exterior-painting/,,,,no
1,2,head,exterior painting contractor,hiring,Commercial,exterior-painting,Exterior Painting,Painting,yes,,,,,,service page,/services/exterior-painting/,,,,no
