source,research_tier,priority,research_batch,keyword,keyword_type,intent,service_slug,service_name,tier,group,in_new_content_set,location,region,target_page_type,target_url,volume,keyword_difficulty,cpc_usd,in_semrush_export,database,seed_keyword,competitive_density,number_of_results,serp_features,trend,click_potential,page,topic,page_type,tags,content_references,competitors
renovation-keyword-list,A,1,1,basement renovation cost,cost,Informational,basement-renovations,Basement Renovations,tier-1,,yes,,,blog post,/blog/,1300,9,3.3,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,closet renovation cost,cost,Informational,closet-renovation,Closet Renovation,tier-4,,no,,,blog post,/blog/,880,27,2.75,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior renovation,head,Informational,exterior-remodeling,Exterior Remodeling,tier-1,,no,,,service page,/services/exterior-remodeling.html,390,15,2.97,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,home renovation cost,cost,Informational,full-home-renovations,Full Home Renovations,tier-1,,no,,,blog post,/blog/,390,17,1.61,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,garage renovation cost,cost,Informational,garage-renovation,Garage Renovation,tier-4,,no,,,blog post,/blog/,880,24,1.1,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,home addition cost,cost,Informational,home-additions,Home Additions,tier-1,,no,,,blog post,/blog/,210,6,1.98,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,interior renovation,head,Informational,interior-remodeling,Interior Remodeling,tier-1,,no,,,service page,/services/interior-remodeling.html,590,11,3.52,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,kitchen renovation cost,cost,Informational,kitchen-renovations,Kitchen Renovations,tier-1,,yes,,,blog post,/blog/,1300,8,1.65,yes,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,backsplash installation,head,Commercial,backsplash-installation,Backsplash Installation,tier-3,,no,,,service page,/services/backsplash-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,backsplash installation cost,cost,Informational,backsplash-installation,Backsplash Installation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does backsplash installation cost,cost,Informational,backsplash-installation,Backsplash Installation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,basement renovations,head,Commercial,basement-renovations,Basement Renovations,tier-1,,yes,,,service page,/services/basement-renovations.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does basement renovations cost,cost,Informational,basement-renovations,Basement Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,bathroom renovation cost,cost,Informational,bathroom-renovations,Bathroom Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,bathroom renovations,head,Commercial,bathroom-renovations,Bathroom Renovations,tier-1,,yes,,,service page,/services/bathroom-renovations.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does bathroom renovations cost,cost,Informational,bathroom-renovations,Bathroom Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,closet renovation,head,Commercial,closet-renovation,Closet Renovation,tier-4,,no,,,service page,/services/closet-renovation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does closet renovation cost,cost,Informational,closet-renovation,Closet Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,composite deck,head,Commercial,composite-decks,Composite Decks,tier-2,Decks,no,,,service page,/services/composite-decks.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,composite deck cost,cost,Informational,composite-decks,Composite Decks,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does composite deck cost,cost,Informational,composite-decks,Composite Decks,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
